channel_id,marker_name,marker_mean,marker_std,marker_id
0,ACTA2,0.011067963708038217,0.04251239172515629,130
1,ARX,0.001293952997367086,0.0026858705092804025,9
2,ATP1A1,0.0028277410380167342,0.009638655203266093,141
3,CD117,0.005413789749240773,0.029150235333900355,177
4,CD11C,0.022018935606080918,0.055874333697307495,182
5,CD141,0.004958896427169222,0.019642132636451464,191
6,CD163,0.004464108951325908,0.021523628199352215,200
7,CD19,0.005432821964332436,0.010671601890118843,204
8,CD3,0.00936185839630111,0.027791346675847383,232
9,CD31,0.03060703876978255,0.08491393244308708,236
10,CD39L3,0.008796137651501355,0.024924496518374396,247
11,CD4,0.0020124490854262402,0.005085510936903265,248
12,CD40,0.0030379058748831378,0.01428214770796839,250
13,CD44,0.01740891905716876,0.05118009778321805,254
14,CD45,0.025959407831464755,0.07349289545148725,256
15,CD66B,0.0005425542785254322,0.0031577589899787067,280
16,CD68,0.007174696951334575,0.03471659719716265,282
17,CD8,0.000701863796711589,0.004726694105705311,294
18,CD90,0.018181966436015853,0.04890037060018906,239
19,CDX2,0.0004960624299145147,0.003409463563934581,15
20,CHGA,0.0016726766838185206,0.013887055477885041,321
21,COL1A1,0.030531517231850245,0.09307124136014025,311
22,COL4A1,0.059155797462338164,0.08129912294971099,313
23,COL6,0.0034479037116441217,0.008062540080792577,315
24,CPEP,0.008186951417209041,0.037599542335775706,341
25,DAPI,0.11290760261505293,0.17512356396524098,4
26,DPP4,0.020461236018392073,0.049239624021586784,225
27,ECAD,0.04615961367405553,0.0765800687192756,328
28,EPCAM,0.03234533831786601,0.08072842993265136,332
29,FN1,0.0031653243360468277,0.01333979375967061,340
30,GCG,0.005890813037538904,0.019301225903702677,323
31,GHRL,0.009752291799129802,0.028304283491332346,325
32,GP2,0.04111363770046637,0.08692320055201316,327
33,HLA-DR,0.0016772396256069474,0.0068873512574223715,370
34,HSPG2,0.011163365060060812,0.035858915717936875,317
35,IBA1,0.02850529776654297,0.06176458387305994,382
36,IRX2,0.00059341243447075,0.0027740602641776143,45
37,ISL1,0.0009957580029428547,0.0025525536413762563,43
38,KRT,0.022054553869219742,0.07691206568315975,322
39,KI67,0.0022385288733455335,0.00693054332471261,46
40,LAM,0.0827177234621279,0.15297052315299425,412
41,LYVE1,0.008833029409538156,0.03787014396788758,424
42,MCAM,0.01471808114581855,0.05514926969660435,237
43,MMR,0.004049009438227302,0.019522744933734047,216
44,MPO,0.00028451278033626913,0.0036364916796193933,434
45,NEUROD1,0.0009779685583372571,0.008157954520588711,49
46,NKX2-2,0.00025678292906039225,0.0019084823353225247,51
47,NKX6-1,0.0003286430811973549,0.0021785865812604856,53
48,NPY,0.0006281436897797218,0.004396268472235142,329
49,PAX6,0.0003809406512837099,0.0019739726653609513,55
50,PD-L1,0.0035545467770158245,0.010116241168732937,450
51,PDX1,0.0012250399205171061,0.0033370202760618626,57
52,PNLIP,0.03000894952259586,0.06962072885375635,331
53,PPY,0.006011810966385829,0.011382749929407484,333
54,SELP,0.0011352527152998968,0.005972447443702901,277
55,SOX9,0.0008603884206645999,0.002294635726342905,59
56,SST,0.006191341681068473,0.013317493381616285,335
57,SYP,0.013097158348759423,0.04529546631337009,337
58,TUBB3,0.0003659113808362954,0.001470401828123202,145
59,VIM,0.010251727922007708,0.048942473189457325,496
60,PROINS,0.018240628819745076,0.061130584440928226,339
