"marker_name","marker_id","marker_mean","marker_std"
"DAPI",4,0.083207167266239,0.095881901595564
"ARID1A",8,0.005041535435617,0.010528046329554
"ATRX",10,0.021218885129275,0.04888633854456
"BCL6",12,0.023329264117751,0.054437781589867
"CDT1",14,0.003630045511133,0.019132367660982
"EBNA1",16,0.030814988001087,0.043842273594497
"EOMES",20,0.012786555365679,0.008608410370148
"ERB",24,0.012473067997559,0.02927226900358
"FOXP3",28,0.014452395933506,0.038268101524066
"GATA3",30,0.002412470519,0.003730364419759
"GEMININ",32,0.019613951997587,0.024940923531521
"H2AX",34,0.001598287962471,0.012756139520754
"H3K27AC",36,0.083437645354573,0.110590118855186
"H3K27ME3",38,0.031952259692268,0.05613364425787
"HEY1",40,0.106634684626102,0.111805166334188
"HISTONEH3",42,0.017520201258267,0.032944307155653
"IRF4",44,0.015499504699957,0.014148746265157
"KI67",46,0.029531676251173,0.076518686083291
"P53",50,0.067346928386254,0.095529416712135
"PAX5",52,0.064188888050782,0.084925632524129
"pHH3",56,0.001842406432527,0.012970135841461
"PROX1",62,0.000718112058585,0.006767988089121
"RB",64,0.005817520766427,0.024704567058472
"TBET",68,0.021788786479292,0.04602853272218
"TCF1",70,0.013290525425327,0.024801965881489
"TOX",72,0.027803651143814,0.043746344089246
"PTEN",98,0.010576106797954,0.027617329607883
"RELA",100,0.088411732332338,0.075491893466021
"RELB",102,0.01886160298172,0.024319609724595
"A-SMA",130,0.029575119358045,0.041247284271777
"ACE2",136,0.00153940690339,0.005014010435104
"ASS1",138,0.103045980475686,0.071216995802131
"ATP5A",140,0.048486441341245,0.080078225655559
"B-CATENIN",142,0.032558367982265,0.059072501692797
"B-TUBULIN",144,0.003021825105228,0.003355021028231
"B2M",146,0.033170962442073,0.05289225311551
"B7H3",148,0.046598643633364,0.049838143345711
"BCL2",150,0.047103710092785,0.060276430630856
"BDCA-2",152,0.008285348891197,0.005956689126225
"C1Q",154,0.01869068310032,0.045164973605802
"C4A",156,0.043529754030118,0.069746598354269
"CA9",160,0.018467209792378,0.082652891871003
"CATHEPSIN L",162,0.003011199322462,0.002217112642825
"CCR4",164,0.031724510575308,0.041872482101634
"CCR6",166,0.044867218527772,0.042833273269029
"CCR7",168,0.00228527866453,0.004641527245148
