channel_id,marker_name,marker_mean,marker_std
0,ACTB,11.808867753366018,42.45512882802084
1,CA2,2.306219053698086,3.6850694830817896
2,CD11B,10.823041121093326,77.48129690149517
3,CD14,5.071527302857633,259.15030507228863
4,CD16,1.6577811568399279,1.8426300090351735
5,CD163,3.1910312272585477,6.717123771586524
6,CD20,2.379896364070364,112.7756203425095
7,CD3,2.103989098978996,9.746221285498986
8,CD31,2.680284697544179,7.777502389003306
9,CD4,2.372463849085835,9.192492614168652
10,CD44,3.455349201743333,72.33351065978523
11,CD45,2.46236088901506,13.39701218203187
12,CD45RO,2.093508788298003,31.66543778342612
13,CD56,3.291977022257273,32.756010863049575
14,CD57,5.515221462176106,449.7243820436651
15,CD68,3.1805495051229884,87.8879351840508
16,CD8,3.100055645951714,211.01876124993717
17,CD99,18.171870653873896,28.840834660578345
18,CHGA,3.3393308792173575,80.77801449334352
19,CK19,5.5756451398423605,27.73103776367161
20,COL1,15.73115605975096,42.179990212803034
21,CPEP,3.4305501859567236,26.92523588470332
22,DNA,77.69677814581162,89.96658702787512
23,FOXP3,4.151290765385345,48.035543052973594
24,GCG,3.4201449528156025,9.968787374154173
25,GHRL,2.603491209806073,22.158451053891984
26,GITR,1.2331214673380013,0.5490142768086925
27,GZMB,2.2709575428156894,4.8092011171814155
28,HLA-ABC,6.9980504910628545,30.969971671055625
29,HLA-DR,4.1986065990710975,11.45749975541168
30,IAPP,1.9854917553960347,4.567939370151654
31,KRT,15.089294535923123,76.18764497195174
32,KI67,2.020910754999849,10.746894404857736
33,NES,2.8227539507909785,62.75542925444907
34,NFKB,3.307742969110484,33.534211720444276
35,NKX6-1,2.4522914908004774,27.660218650902358
36,PDX1,4.019111400504259,20.956551437469695
37,PPY,3.0421112840963582,11.115233120068853
38,SST,5.248997031109362,62.99952018017859
39,P16,2.2685695807481614,1.761463408501508
40,PS6,10.205840499242388,14.449123314801035
